Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
MetaMask,683.16,629.54,557.71,572.95,576.15,576.77,595.42,596.55,607.74,602.9,611.84,625.98,615.85,614.71,582.32
yuzu-emu,940.81,943.82,941.03,988.03,971.43,951.76,976.51,1025.98,1034.55,1074.19,1078.27,1106.91,1125.43,1145.37,1140.28
taosdata,165.83,180.79,174.39,168.2,140.32,131.41,139.98,165.99,185.2,203.1,222.12,238.71,265.09,280.9,306.07
matrix-org,654.04,655.17,648.28,632.46,616.81,627.78,590.63,608.68,590.1,612.71,637.27,645.82,661.63,689.34,692.11
tensorflow,725.04,660.48,669.34,676.5,679.54,687.35,696.46,716.87,729.13,724.38,740.8,782.63,810.2,813.0,842.12
rust-lang,1075.76,1074.08,1069.28,1066.3,1065.41,1058.06,1051.89,1043.37,1040.06,1038.04,1038.34,1037.74,1044.33,1046.32,1050.11
openvinotoolkit,229.94,238.96,229.8,246.03,276.55,292.36,298.29,308.96,320.42,317.34,332.9,345.92,364.0,369.39,381.95
DataDog,535.98,524.87,522.53,510.15,493.8,496.51,487.76,502.29,487.77,495.49,478.4,478.2,486.65,480.07,480.97
home-assistant,634.56,629.88,636.77,624.6,616.4,632.92,606.93,616.25,629.26,617.02,634.63,633.53,636.72,634.45,656.41
matplotlib,817.95,808.18,845.82,843.78,854.55,870.62,873.23,896.37,884.58,865.46,885.36,880.36,887.78,897.41,905.81
envoyproxy,632.37,620.72,625.84,626.92,633.5,618.12,607.71,629.91,656.85,668.69,676.17,674.23,679.32,700.4,693.08
godotengine,595.13,583.04,580.27,574.74,586.74,591.05,580.14,586.49,560.5,535.26,528.65,516.84,514.8,504.35,501.46
aws,444.14,446.16,454.62,477.28,474.32,477.06,497.82,530.32,523.65,542.31,538.0,567.22,582.72,593.36,607.93
NixOS,578.66,571.37,559.23,560.22,558.37,551.32,532.78,562.66,562.5,558.42,560.12,553.2,589.31,593.63,595.36
newrelic,141.03,148.24,140.98,147.15,156.14,167.06,179.98,201.92,218.03,227.32,244.67,265.97,282.66,289.33,293.89
huggingface,302.34,297.39,263.1,268.22,268.28,265.93,280.39,291.22,315.06,311.85,325.95,336.43,362.08,373.76,377.09
denoland,685.22,666.03,613.8,621.97,612.22,637.35,637.07,636.8,651.99,665.74,674.19,671.84,686.07,691.91,674.57
symfony,749.33,755.91,797.33,814.66,810.63,803.64,864.56,873.32,869.64,888.11,853.44,880.92,860.56,865.87,872.15
containers,710.84,714.08,682.39,705.89,660.38,627.67,628.39,634.68,639.98,645.71,654.28,668.07,696.16,690.04,684.61
xbmc,767.49,797.6,814.26,829.3,864.52,867.92,865.81,911.2,933.27,956.27,952.13,977.81,913.96,950.84,966.83
airbytehq,119.3,125.34,130.75,134.46,150.67,145.72,152.42,170.01,173.8,166.5,176.05,181.69,199.26,197.67,220.52
kubernetes,596.7,621.75,626.55,650.41,647.36,627.97,621.54,619.18,654.68,655.74,666.15,661.43,678.46,705.88,693.45
