Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
zephyrproject-rtos,3.741978522871677,2.089231566023198,2.998570852536688,3.28653182952627,1.5782046365771123,3.372699094472982,3.413235586953194,3.4830865975598297,3.6951487989303264,3.745263783059787,3.8954313507144898,3.606395468617718,4.031444571041709,4.071313446969937,4.028015440013406,3.5032476001087494,4.055437203635531,3.357134711849168,4.14897947804807,4.183694989254965,3.6439014230368545,3.299919349632415,3.8607614709990545,3.4740214551272675,3.3044173559285843,2.69039341334404,2.2833974973788527
qmk,7.6562906971985445,5.4621216030858655,8.192952784401093,7.361900311556503,3.6902069127283617,7.595902689077902,8.164023619239693,8.374943947053929,8.421806309488497,8.428191423948256,8.385645659953953,7.92366229784511,8.99165428178797,8.362193629537893,7.856045756110787,7.672805907625963,7.4817355779124215,7.17669869011493,8.199705971507257,8.145396532757468,7.223563318104331,7.09257949735837,7.739444488887414,7.465209399343452,7.3301814250073924,5.581664678000961,4.691891525968877
mrdoob,8.219873857636365,6.582057974354904,8.640925429910066,8.731997118599132,4.879889298243288,8.78193031150914,9.581022946066028,8.855617263056978,8.766019261540695,9.242373222688718,9.652125136114565,8.894458297850134,10.0,9.806885070345729,9.377743537208545,8.987580033244843,8.22375542992034,8.181715743774046,8.916290945407537,8.747190326887928,8.530012740317455,7.345860012730728,8.212569731874304,7.570202860836635,7.323467879090038,6.536508196628123,5.358586485912112
rapid7,5.1453140425419095,3.3082193718998196,5.1609988304696195,4.551554775526819,2.3949952322872594,4.742677898173207,5.510258594276183,5.230791927896126,5.168837522302958,5.063152879402578,4.814976969028926,4.8579759468808374,5.234072449668831,5.361374041158807,5.187598241667907,5.082166756851244,4.536320039618527,4.157688188471761,4.625117477544683,4.522096728875011,4.553960287542037,4.338665614669741,4.5463804816016955,4.39145881257536,4.348011445000987,3.289538246402079,2.7153085150268517
ccxt,8.054123659627026,4.336682492589343,6.4438231325734066,5.811734465591314,3.261858257862363,5.269481770559562,4.989781136541724,5.6105710460462195,5.718987496347043,6.030290831118449,6.2070502546633985,6.1467196316593835,5.999625545651,5.321525007398217,5.151106427815154,5.082166756851244,5.14243059257581,4.630729432139104,5.2404064725451205,4.757959821171115,4.456614540594658,4.733905875294855,4.853814523341157,4.20105010229296,4.598737845588311,3.6496583967277774,2.879638428744806
JuliaLang,4.792444180126157,3.271594582290587,7.052682361048563,4.6711815995999295,2.3205818731213945,4.37455837215903,9.269486100664746,5.571775190695843,5.038256552703079,5.4743160225024505,5.769653620252382,5.20819380499593,5.613571548451601,5.3839638314630465,4.836295035043079,4.330096648192301,4.816883940244682,3.8412972033058757,4.972667528070373,4.320153270527128,4.083411027420622,3.409344390284103,4.329022471035144,3.953661462864243,3.869079812246628,2.8559610033159517,2.2833974973788527
jitsi,5.02598605499026,3.2648985012707574,4.356228498961276,3.98939423095244,2.066235963960844,3.789399271349705,4.094325174958776,4.640659580679837,3.927750221110157,3.935531000038036,3.707625943985398,3.6128602046378333,4.2811312402942985,4.118301349929666,4.094636039354468,3.4684763388385127,3.0552765219761993,2.780899180613715,3.209884715247834,3.349543017729674,2.9363605725047166,2.8976802878340386,2.8987133657671382,2.7936362130517134,2.7103534001616065,2.527589377895854,1.9342707534560764
WordPress,2.3167160940144305,1.9463193037104594,2.5133097256318235,2.2895000303521056,1.4655703761130177,2.7554441990837475,2.696634183928138,2.881951291408358,3.0712103765466154,2.865984843888329,2.8690007339435786,2.482186464581411,2.86093739714177,3.531461766275988,2.943854410490988,2.586766901644402,2.6729885441017296,3.350346894796582,2.864422809100771,2.7420989946240706,2.5009319082362866,2.3561801135342786,2.5352585305734188,2.4339558156280487,2.5083733047237122,1.9708837979548521,1.5998909670586596
istio,4.2168009653368745,3.0051366818026044,4.42018965900864,4.509440333577086,2.0840126874381566,4.213847096205319,4.657959870449727,4.98384769277367,4.84220823242994,5.281738127846387,5.936327674637616,4.488780634689048,5.344287559512962,4.886184483397045,4.796353894944177,4.3356959890677755,4.178788341931966,4.556590532829491,5.033163753831607,4.344460036049081,4.741667176526823,3.8936232851041948,4.311791067651349,3.527372581867986,3.5295302326002505,2.846686584771562,2.1304912425251965
qbittorrent,3.8225721067480145,2.4438460982927115,3.6293431622205414,3.1689892164684874,1.7533770076279365,3.1775810949453143,4.365938303942043,4.450574297458793,3.5424145723336338,3.956900610643916,4.0066731767819626,4.046506714697075,5.551332151426481,5.344345606141267,5.378109748700147,4.759493903358267,3.9656466772993464,3.9418531486407002,5.524807435865509,4.970086343285393,4.004295431382232,4.242977841195454,4.480779215774432,4.712432977622303,4.395672045054565,3.7724663142250274,2.681596899212077
DefinitelyTyped,7.202144936647049,5.477371585814219,7.320570883499048,7.0052758267736195,3.60700938972738,7.673105240045726,7.592395303465552,7.837693037884903,7.911638822312239,7.6934211086106545,7.587219200103339,6.6529457777293155,7.53590268923126,7.394966891972505,6.99467323743381,7.0934675091857855,6.7186023558230925,6.406124928971481,7.099634952275558,7.163568988522234,6.778262238763776,6.195780797400593,6.388200957180302,5.919027659650511,6.22959253245787,4.984862028800506,3.864935628067763
grpc,5.190544830829039,3.4831983092617924,5.347673629820445,4.830397425141674,2.333082897648989,5.470261069388816,6.656041322683565,5.488032786845645,5.596603984462295,5.5695117792255395,5.27211400467926,5.76000998155082,5.065232227096122,5.269686232445285,5.6049105390813745,5.182563087843806,4.729978549383202,4.877373899871975,5.038617262666717,5.263351917832638,4.983482554905453,4.64315369786008,5.148127061308043,4.110817552610157,4.338409187398602,3.459878725985896,2.718358838444976
elastic,3.1951550538841285,2.9108992530313857,3.7225339421477317,3.4062616207810508,1.660600189199178,3.170676028268881,3.5305038927177734,3.5408712874993973,3.511138252498475,3.4735707064637307,3.5567587898925117,3.0956462206326556,4.10349881956469,3.288906709593764,3.622903887375065,3.064068363024788,3.1682789131305653,3.0393746259247068,3.148498691907956,2.9117865640841494,3.1024493814906715,2.694314494996443,2.8151920182884127,2.2085387588084027,2.238216809873968,2.315388714725862,1.7079834351912782
Azure,1.7272021552065404,1.3652164630342174,1.695280030770696,1.762350529037879,1.2134850005333888,1.5495953691691224,1.8407951664601154,2.029110967997882,1.8184242469391108,1.7296928659474757,1.8477877662393205,1.4405606984496853,1.9847811200768666,2.3710008627577803,2.837632082160364,1.7179792037831854,1.5820013035436136,1.9717269801830217,1.6477167014691356,1.4695124587555501,1.5553020798457493,2.054424357203654,1.467827692531946,1.2331568917814575,1.2620492352638952,1.0,1.0
MicrosoftDocs,4.990648945357739,4.204563548518696,5.4777331446132065,5.378994940039707,2.8249929241720757,5.534959198423883,5.803544899108512,6.323202260474844,6.591276778731098,6.241791775807244,5.957191168236804,5.489837788308825,5.999625545651,6.6560652451321785,6.514551791503699,6.475051513628766,5.468480727067715,5.558982899648251,6.113401584026225,7.187058152300403,6.181671553272828,5.312554483808887,5.805370825838364,5.972541785511812,5.477119331598063,4.627849217109587,3.6499264274301586
ArduPilot,3.97382628217147,2.9291991631873984,4.424718510887591,3.9797086937733237,1.9852247669277299,4.630131003371844,4.914499860112942,4.565731081622657,4.052751271532612,4.536804767643558,4.792616918833627,4.645631110239099,4.797455703880581,4.9621923225762705,4.600852053647959,5.547900259456696,4.127864267477468,4.141075245854685,4.582480924352961,4.886612067622412,4.48933324322646,4.049367008980428,4.486288237598512,4.076435979204453,4.461435372653417,3.459878725985896,2.908788259767885
systemd,2.724622903094347,2.0207326628763242,2.476229387419182,2.1293530147903477,1.4290406678212095,2.350926207134796,3.0794464486427024,3.234153181348919,3.123572141557031,3.0939738701103088,2.9236397593873145,3.2757633389212026,3.55386345470371,3.0200014804082187,3.193649087751947,2.840909262067747,2.8261296804954075,2.5041129746707207,2.7779281780432568,3.124393972201967,3.1024493814906715,2.4492476135782475,3.068505639439657,2.4339558156280487,2.5617490060102495,1.8047576334179898,1.7472710711162174
bitnami,5.2315515528790115,3.6048714395277104,5.344097735997038,4.711597691586855,2.5906682291316283,5.179582027999342,5.510258594276183,5.9256565192932955,5.944410110442474,5.86379884557976,5.795762960064083,5.3307968670248025,5.955424219799357,6.294135556933146,6.073485972373603,5.464959853934038,5.2516009258146354,5.307839637067234,5.825720252343582,5.580546956239268,5.147484084424037,4.418198048327716,5.120141378479253,4.986302579865959,4.955248826520409,3.6797862435989055,2.920387593326816
appsmithorg,3.586940905101081,2.3220772558608025,3.1644989372000034,8.885622740347781,1.7941799914517311,3.853759375522483,4.205245449641328,4.1748716274438245,5.31998561029153,6.647577695525523,5.413337441027885,10.0,8.45675538256761,6.696523171658478,5.7412415462089985,10.0,9.879494549124727,6.513441981448754,6.408316767901004,6.982751208263169,6.0709352599469115,6.861601268656946,6.201048969872599,6.385736906574816,6.081635563801629,4.9606078676021035,3.7775564473063046
go-gitea,5.091874631294963,3.2278635892375056,5.081463878266505,5.020708991777557,2.212677230477073,4.261189832346753,5.097635355015908,6.327221438553539,5.0962503304822135,5.3718006181947775,5.005356231369415,5.36807718229607,6.194470697194111,6.276249239698557,6.130973031356768,5.592778268664893,5.45755309281017,5.4214554661056775,6.179079401021666,7.080227148882859,5.626281853608458,5.385547274276614,5.503299770898475,5.322555295850217,5.201829995814592,4.218611062007154,3.830676827639994
