Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
grpc,2.3364020539080483,2.3298575692136505,2.3337528985858,2.309545045848453,2.298429744764229,2.2830928195949047,2.2769464278645355,2.2685115820785238,2.2655442004945496,2.2678458394142282,2.2703759400921437,2.2654438478825725,2.254674183660749,2.2558490293716162,2.258915951738023,2.263148096087301,2.2453447205999493,2.2346351195393876,2.2110443598160368,2.1951863770589126,2.181474467019426,2.180694030796505,2.172543301263503,2.1642690757799947,2.1680211162246197,2.1670888742161067,2.1707641416755115
elastic,1.9650312978403566,1.953431896783446,1.9440707345681745,1.9418345701266295,1.9587807566371354,1.963540934090933,1.9685656405926646,1.9631254973550811,1.967078547549396,1.9670320400316805,1.9635559120191175,1.9718388367557567,1.9549714883251905,1.9530456963830578,1.9461961304175759,1.9424946631709847,1.9275367625459197,1.9326942358086003,1.9154595467012667,1.9042868535540296,1.8997861692140185,1.9051308116645345,1.9308985188456478,1.923692450543374,1.931283249673774,1.934102202169543,1.9359096044393729
Azure,1.3132878420893186,1.317774401310497,1.3555473933293265,1.3352188566230294,1.346390448411936,1.3438256142531635,1.3388808906669285,1.335155197376102,1.33265682769276,1.3537876060893927,1.3737360884313836,1.3726423658548101,1.3570239483160595,1.3776766747133413,1.396522739554258,1.403712218448743,1.3964015786285282,1.3909763583117625,1.3904493182766946,1.379036847689893,1.3739049012573377,1.3799957354623147,1.375531390570601,1.3732422751607571,1.3751524429563156,1.3701515693754676,1.3720562194514156
MicrosoftDocs,6.719747364781138,6.746995972345888,6.781508805492536,6.823379095063051,6.84231430179305,6.849207751351794,6.870727113609726,6.891747897521809,6.929882113918757,6.957658503584504,6.980429730826735,7.028110913256535,7.046272396268283,7.0821257237840225,7.094832869930317,7.107085218795503,7.138617415819613,7.1556427092100225,7.1653322283947665,7.193054174916894,7.21570778182781,7.2346156563154125,7.241379180447367,7.263018175401653,7.294089841817142,7.313055744232186,7.355070127679029
ArduPilot,1.6140539898228394,1.6116448757707085,1.6246385856548766,1.5980074062386136,1.5994349238565735,1.613042379077183,1.609403013367562,1.6005047793998886,1.60128634111885,1.6060461184915849,1.6121261499661146,1.6042210372625405,1.584974582838771,1.5888252834307008,1.5795358977483236,1.5820092761704672,1.5749602578634452,1.5749057362184224,1.5567894799795146,1.544802115001415,1.5342810315500255,1.5346246809199258,1.5272631962236505,1.5241094292536435,1.5186249029684453,1.5210342190958002,1.5135729616620017
systemd,3.26072795537258,3.280801641603891,3.2874581625869403,3.263660984937647,3.2466266965444337,3.249098531386048,3.2587381673752733,3.273863757756195,3.2607235109161,3.271461033869054,3.2792450342553634,3.271113250931168,3.262865403746187,3.2729313246645235,3.2767889548078513,3.280447227046638,3.2664897620354787,3.272113256266258,3.2598705733098408,3.25160854745175,3.2490172174398735,3.235544586813494,3.24690295469856,3.2427814331759266,3.249947507592453,3.265831353709146,3.272695162895588
bitnami,1.8278910449964236,1.889888453476166,1.970341676562304,2.037055781937803,2.1146204866622744,2.2326729820393965,2.3138379482141684,2.391012063218844,2.4729471535203436,2.5323554385546165,2.598221860046677,2.6419289319719512,2.6668335105173195,2.720357471848199,2.7721725552137526,2.777742632283611,2.8157994468773597,2.8640613584209023,2.9012310203267146,2.9418040130316268,2.980427667817895,3.024018522412051,3.060403858775915,3.0885974899475057,3.1153425923651032,3.1452638740285837,3.1708605386625517
appsmithorg,1.0,1.0,1.0,1.0711461854763797,1.081595067495661,1.0859988725850322,1.0791302640110008,1.0754643098378587,1.077014210417421,1.073365768175913,1.0723541537978967,1.0663824179767485,1.0421927371840392,1.039192796574825,1.0309824915004118,1.0464025202598337,1.0356698312750598,1.0454238508662277,1.0324141269672178,1.0223249683052276,1.0147785583009292,1.009781140384167,1.0048631862269009,1.0024168083648752,1.0,1.0,1.014168446621535
go-gitea,2.3095725195325256,2.2989123907697557,2.3054546351044083,2.315959486376487,2.323696741018963,2.3390484149380235,2.364505304729861,2.3532662265998647,2.337223971889496,2.3424856516334813,2.342021296079677,2.342178459873334,2.3496771133388323,2.344345816466837,2.3388620667363336,2.34120393255932,2.3300340939430484,2.3242874596132443,2.3161457511100316,2.3089480188270146,2.307114063621488,2.3018776394771914,2.305446475379817,2.3225514760163444,2.3302145761102375,2.3416034654577356,2.359027197461007
Homebrew,3.6726821707864628,3.6683195994504625,3.659975164012702,3.6329086776933233,3.619411972816422,3.619029994763931,3.609351623590492,3.613566450684322,3.622038141645681,3.62890494645935,3.640906815931238,3.62870117306693,3.60825636977847,3.603542393180737,3.588323714720578,3.5904977604095465,3.567079424310584,3.5580338200663593,3.536358062388786,3.5164995918725324,3.4990291102508397,3.489664393297156,3.4820551234423287,3.4625768165689443,3.4614905441542283,3.4546288515250803,3.4384273156283265
