Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
zephyrproject-rtos,5.47796211263823,4.294873293817561,6.473812443260232,5.582780135853065,6.257383968580116,5.358637380186474,5.802860377842416,5.610260255731859,5.35534641196906,7.573543420684516,6.676443748615184,7.540331874941992,6.03301975945866,7.29148000791161,7.214174597352805,6.757522459421226,6.441427772780767,6.289136856332322,6.313545442957621,6.063347987402763,5.916255266960434,7.790392213633201,8.140845321786193,7.347010384491663,6.8802234818212264,7.407989592762968,7.507474493392566
qmk,7.955014444671162,6.749536499402499,7.6775787089484,7.806242544904325,7.238916732784314,7.178288115603095,7.551356024035397,4.897998747385934,6.6199241531556385,6.696067493100201,4.033565099425266,8.805732706564893,7.845616750311774,5.386892224798731,4.778609471276527,6.942881127929539,4.888470312309192,5.178808619887206,3.757628690841912,5.00245944812777,7.725548908234139,6.115329161037187,5.806895046180952,6.221153130835245,5.9489378169660165,5.931356186471623,6.993489521881742
mrdoob,3.924616401484536,3.9318741412426843,5.622401588857458,3.7567287036973673,4.67536524759635,4.20613224656329,2.5113977379773176,4.910681991645963,1.2463884225460091,5.922967315851671,3.1363996206354634,3.188732345263113,3.2114212399483617,3.8614339704263987,4.726486547692504,4.065923352533145,2.9177101702943107,6.36029836726906,3.821880118574443,3.2954631005912067,2.1433264332684985,4.671897983607172,2.5779408594038027,4.712647529546553,4.5217122537496035,4.634399718081928,2.7219160125826214
rapid7,6.007772271458832,4.9397550653834905,7.086366047330896,7.058963613618076,6.266911478170938,7.15682165332142,8.18952327438078,7.660020259332146,7.350389720397609,1.0,6.463705742303854,6.642504014880973,7.229533025898572,7.111648746925748,6.645556040124155,6.534190344707737,7.232688689078141,6.301882851395239,7.842729298581679,6.782587100883271,8.249658236665276,6.2050916081685195,7.270270412640417,7.005491904302209,6.846162746390739,6.918928675840198,8.222869611732044
ccxt,4.509960490275615,4.244072528995302,4.750443009068114,4.913622036203845,5.622636958677432,6.127465441854354,5.1564798611918485,5.831510522399354,4.861438596300085,5.103037281581065,4.252268312405507,3.928675101066394,2.801983503311442,4.6384211300807525,4.489493947092016,5.031208625974678,3.385668923251163,4.362014830526381,3.493777066431846,2.2502322702276256,3.8763077571532496,4.013201702847715,5.120229772161497,3.9397008233776325,4.367753164448562,4.514260995880148,4.938020567181207
JuliaLang,5.981372281388961,4.408622564060407,6.53395171531193,7.065345728170273,5.904010944494456,6.151028442207151,6.485863913067828,6.19497492632261,6.590086316792476,7.329184270872101,5.529107219673998,5.835056107316767,6.598732841609506,5.194066925275675,7.286590297252781,6.396687182077307,6.336211200599168,5.9165908687794655,5.1602750104494195,5.126460034472096,6.066999459419168,6.0224883025970986,6.2056645168878575,5.112966647261099,5.122735391473691,6.3850847932811,6.464929770975958
jitsi,7.560326330455237,6.592325839747315,8.088572679449939,6.104434425516538,5.68262354948678,8.274768606644276,7.115819854188788,6.024614495489255,5.247943763073506,4.258755649665632,4.394111695170862,5.112564580323501,5.1201451886086256,5.972088471045738,3.9383320397910686,3.206821505848142,5.340623393671773,4.682117580620961,5.2483799594870275,4.27865477918299,5.136200616558612,4.280770755993778,5.280318215093986,5.541491112049364,2.5113706873748516,3.3422284729534217,6.637156911849141
WordPress,5.697821005650231,5.164715167901368,6.379909858406988,6.686437332775979,5.510646444317866,6.209464741547128,7.114286856403226,7.046213462028899,7.773113274653772,8.428559459313977,6.459187457812941,6.127991893460954,6.178865769224016,6.950547758176428,7.421713052712357,6.934209687130248,6.849798149401605,6.647729517243028,6.8020462170621885,6.793815937684386,7.419151597062297,7.927223746174723,7.920170054851692,6.248949841863488,6.6960674931002,7.0422598965208,7.314977677126924
istio,3.451469093117891,2.6829616149828777,3.0811089241022698,4.170674693493276,3.0639838278521037,3.4783874116839413,4.990566781598026,4.1601407535488715,4.624270296236361,5.5275218060941365,3.639450963493315,2.9630523808644393,2.8217104861402733,3.8424511262042467,3.6898688326057627,5.027675542178906,4.3259114658479545,5.2971397457187255,3.083828440029655,4.5171857891262395,4.496587565576862,5.118800387038493,6.547456602980217,6.0909410728874605,5.651623603198548,6.264817888914448,6.102792720363645
qbittorrent,7.434080466095104,7.435630411105662,6.685709949846568,6.834275541768126,6.632093284508144,5.563458019765049,7.043110993228721,5.597003376432636,8.278489294022414,8.866445169732717,7.667691425042805,8.521854359168724,4.896220455346207,6.640304603171054,6.9863483102649235,7.481339392867156,5.553544745405278,7.474053167313855,6.521442935749863,7.544305600681293,7.070180277026252,8.239284236695784,7.614111883790211,6.6014540208379655,8.079557578882651,7.599144821669505,7.370238345301943
DefinitelyTyped,5.420917118970025,7.348655743496154,7.8215231037388016,8.918247206289998,7.495538170119897,2.6122104445083982,2.2275432447965424,4.951173033922046,3.734735947984707,7.978639070936059,4.476936047134048,10.0,8.569876915848706,10.0,8.593851621138256,10.0,9.701936231450224,7.564912962261924,8.10597304418808,8.929077031864946,7.151977766016783,7.229491343397648,9.171189178955869,10.0,10.0,9.128087476076795,10.0
grpc,7.0073206901758525,7.404852785365244,8.637665074102983,5.587264181678734,5.8558860277269895,5.41295990311572,8.061684518576804,7.72593389931885,6.62086270060044,9.454443944940628,8.97442861671778,7.6595469352284855,5.73163910260065,5.233781380912906,6.153491938982566,7.092431476802479,6.0526615346849315,5.60235549162787,6.637639491025049,6.088875244217964,7.1383548687500875,5.514296600372754,8.042153312013296,5.754364771292445,6.652549331930493,5.804806093097554,6.388729842072978
elastic,4.296359345902749,2.601752392851144,3.2912693537773703,2.3959008172001455,2.686167585581129,2.2847345208962073,2.665620961075652,2.329922845873095,3.886872128339724,6.799278330781267,3.4545517656975613,2.706597315210619,3.659413467711189,4.150741844429197,4.260740775775747,3.9194527202767655,3.1860562325192077,3.801045634342644,2.1386617156093735,2.970334936308619,2.945964846311929,4.093350900094831,3.957133384739617,3.6348945051533232,3.2599898144981045,3.2477866891629454,4.824870281476144
